radius,intersection
1.0,4.0
2.0,4.0
3.0,4.0
4.0,4.0
5.0,4.0
6.0,4.0
7.0,4.0
8.0,4.0
9.0,4.0
10.0,4.0
11.0,4.0
12.0,4.0
13.0,4.0
14.0,4.0
15.0,4.0
16.0,4.0
17.0,4.0
18.0,4.0
19.0,4.0
20.0,4.0
21.0,4.0
22.0,4.0
23.0,4.0
24.0,4.0
25.0,4.0
26.0,4.0
27.0,4.0
28.0,5.0
29.0,5.0
30.0,5.0
31.0,5.0
32.0,5.0
33.0,5.0
34.0,5.0
35.0,5.0
36.0,5.0
37.0,6.0
38.0,7.0
39.0,7.0
40.0,9.0
41.0,8.0
42.0,9.0
43.0,8.0
44.0,5.0
45.0,5.0
46.0,5.0
47.0,5.0
48.0,5.0
49.0,5.0
50.0,5.0
51.0,5.0
52.0,5.0
53.0,5.0
54.0,5.0
55.0,5.0
56.0,5.0
57.0,5.0
58.0,5.0
59.0,5.0
60.0,5.0
61.0,5.0
62.0,5.0
63.0,5.0
64.0,5.0
65.0,5.0
66.0,6.0
67.0,6.0
68.0,9.0
69.0,9.0
70.0,9.0
71.0,7.0
72.0,8.0
73.0,9.0
74.0,9.0
75.0,9.0
76.0,8.0
77.0,8.0
78.0,8.0
79.0,8.0
80.0,8.0
81.0,8.0
82.0,8.0
83.0,7.0
84.0,6.0
85.0,5.0
86.0,5.0
87.0,5.0
88.0,5.0
89.0,5.0
90.0,5.0
91.0,7.0
92.0,7.0
93.0,6.0
94.0,5.0
95.0,5.0
96.0,5.0
97.0,5.0
98.0,5.0
99.0,5.0
100.0,5.0
101.0,5.0
102.0,6.0
103.0,6.0
104.0,6.0
105.0,7.0
106.0,8.0
107.0,6.0
108.0,6.0
109.0,5.0
110.0,5.0
111.0,5.0
112.0,5.0
113.0,5.0
114.0,6.0
115.0,6.0
116.0,8.0
117.0,8.0
118.0,8.0
119.0,7.0
120.0,7.0
121.0,5.0
122.0,5.0
123.0,5.0
124.0,5.0
125.0,5.0
126.0,5.0
127.0,5.0
128.0,5.0
129.0,5.0
130.0,5.0
131.0,5.0
132.0,5.0
133.0,6.0
134.0,6.0
135.0,6.0
136.0,6.0
137.0,6.0
138.0,6.0
139.0,6.0
140.0,6.0
141.0,6.0
142.0,6.0
143.0,6.0
144.0,6.0
145.0,6.0
146.0,6.0
147.0,6.0
148.0,6.0
149.0,6.0
150.0,6.0
151.0,7.0
152.0,7.0
153.0,7.0
154.0,7.0
155.0,7.0
156.0,7.0
157.0,6.0
158.0,6.0
159.0,7.0
160.0,7.0
161.0,8.0
162.0,6.0
163.0,6.0
164.0,6.0
165.0,6.0
166.0,7.0
167.0,7.0
168.0,7.0
169.0,6.0
170.0,6.0
171.0,6.0
172.0,6.0
173.0,6.0
174.0,6.0
175.0,6.0
176.0,6.0
177.0,7.0
178.0,8.0
179.0,6.0
180.0,8.0
181.0,6.0
182.0,7.0
183.0,7.0
184.0,6.0
185.0,6.0
186.0,6.0
187.0,6.0
188.0,6.0
189.0,6.0
190.0,5.0
191.0,6.0
192.0,6.0
193.0,6.0
194.0,6.0
195.0,10.0
196.0,6.0
197.0,6.0
198.0,7.0
199.0,7.0
200.0,7.0
201.0,6.0
202.0,6.0
203.0,6.0
204.0,6.0
205.0,6.0
206.0,6.0
207.0,6.0
208.0,8.0
209.0,8.0
210.0,9.0
211.0,6.0
212.0,6.0
213.0,6.0
214.0,6.0
215.0,6.0
216.0,6.0
217.0,6.0
218.0,6.0
219.0,6.0
220.0,7.0
221.0,6.0
222.0,6.0
223.0,6.0
224.0,6.0
225.0,5.0
226.0,5.0
227.0,5.0
228.0,5.0
229.0,5.0
230.0,5.0
231.0,5.0
232.0,5.0
233.0,5.0
234.0,5.0
235.0,5.0
236.0,5.0
237.0,5.0
238.0,5.0
239.0,5.0
240.0,5.0
241.0,7.0
242.0,5.0
243.0,5.0
244.0,5.0
245.0,5.0
246.0,5.0
247.0,5.0
248.0,5.0
249.0,5.0
250.0,5.0
251.0,5.0
252.0,5.0
253.0,7.0
254.0,8.0
255.0,8.0
256.0,8.0
257.0,8.0
258.0,8.0
259.0,8.0
260.0,8.0
261.0,8.0
262.0,8.0
263.0,8.0
264.0,8.0
265.0,7.0
266.0,7.0
267.0,5.0
268.0,5.0
269.0,5.0
270.0,5.0
271.0,5.0
272.0,5.0
273.0,5.0
274.0,5.0
275.0,5.0
276.0,5.0
277.0,6.0
278.0,6.0
279.0,5.0
280.0,5.0
281.0,5.0
282.0,5.0
283.0,5.0
284.0,5.0
285.0,5.0
286.0,5.0
287.0,5.0
288.0,4.0
289.0,8.0
290.0,10.0
291.0,12.0
292.0,18.0
293.0,14.0
294.0,12.0
295.0,8.0
296.0,8.0
297.0,8.0
298.0,7.0
299.0,8.0
300.0,8.0
301.0,9.0
302.0,14.0
303.0,15.0
304.0,15.0
305.0,16.0
306.0,15.0
307.0,16.0
308.0,12.0
309.0,12.0
310.0,12.0
311.0,11.0
312.0,11.0
313.0,8.0
314.0,9.0
315.0,9.0
316.0,9.0
317.0,9.0
318.0,9.0
319.0,9.0
320.0,9.0
321.0,9.0
322.0,9.0
323.0,8.0
324.0,8.0
325.0,9.0
326.0,9.0
327.0,10.0
328.0,8.0
329.0,8.0
330.0,8.0
331.0,8.0
332.0,7.0
333.0,7.0
334.0,7.0
335.0,7.0
336.0,7.0
337.0,7.0
338.0,6.0
339.0,6.0
340.0,6.0
341.0,7.0
342.0,7.0
343.0,8.0
344.0,8.0
345.0,7.0
346.0,7.0
347.0,8.0
348.0,8.0
349.0,11.0
350.0,10.0
351.0,9.0
352.0,8.0
353.0,9.0
354.0,8.0
355.0,8.0
356.0,8.0
357.0,8.0
358.0,8.0
359.0,9.0
360.0,10.0
361.0,10.0
362.0,10.0
363.0,10.0
364.0,10.0
365.0,9.0
366.0,9.0
367.0,9.0
368.0,8.0
369.0,8.0
370.0,7.0
371.0,7.0
372.0,7.0
373.0,7.0
374.0,7.0
375.0,7.0
376.0,7.0
377.0,10.0
378.0,9.0
379.0,9.0
380.0,9.0
381.0,9.0
382.0,9.0
383.0,8.0
384.0,8.0
385.0,8.0
386.0,8.0
387.0,8.0
388.0,8.0
389.0,8.0
390.0,8.0
391.0,8.0
392.0,8.0
393.0,8.0
394.0,8.0
395.0,7.0
396.0,6.0
397.0,7.0
398.0,7.0
399.0,9.0
400.0,9.0
401.0,9.0
402.0,10.0
403.0,9.0
404.0,9.0
405.0,9.0
406.0,9.0
407.0,8.0
408.0,8.0
409.0,8.0
410.0,8.0
411.0,8.0
412.0,7.0
413.0,7.0
414.0,7.0
415.0,9.0
416.0,9.0
417.0,8.0
418.0,8.0
419.0,8.0
420.0,8.0
421.0,8.0
422.0,7.0
423.0,8.0
424.0,10.0
425.0,10.0
426.0,8.0
427.0,8.0
428.0,8.0
429.0,9.0
430.0,8.0
431.0,8.0
432.0,8.0
433.0,8.0
434.0,8.0
435.0,9.0
436.0,7.0
437.0,8.0
438.0,8.0
439.0,9.0
440.0,9.0
441.0,9.0
442.0,9.0
443.0,9.0
444.0,9.0
445.0,10.0
446.0,8.0
447.0,8.0
448.0,8.0
449.0,7.0
450.0,6.0
451.0,7.0
452.0,7.0
453.0,7.0
454.0,7.0
455.0,7.0
456.0,7.0
457.0,7.0
458.0,6.0
459.0,6.0
460.0,6.0
461.0,6.0
462.0,6.0
463.0,6.0
464.0,4.0
465.0,6.0
466.0,7.0
467.0,5.0
468.0,5.0
469.0,5.0
470.0,7.0
471.0,7.0
472.0,7.0
473.0,5.0
474.0,6.0
475.0,6.0
476.0,5.0
477.0,6.0
478.0,6.0
479.0,6.0
480.0,6.0
481.0,6.0
482.0,9.0
483.0,9.0
484.0,7.0
485.0,5.0
486.0,5.0
487.0,5.0
488.0,5.0
489.0,5.0
490.0,5.0
491.0,5.0
492.0,5.0
493.0,5.0
494.0,5.0
495.0,4.0
496.0,4.0
497.0,4.0
498.0,4.0
499.0,4.0
500.0,4.0
501.0,4.0
502.0,4.0
503.0,3.0
504.0,3.0
505.0,3.0
506.0,3.0
507.0,3.0
508.0,3.0
509.0,2.0
510.0,2.0
511.0,2.0
512.0,2.0
513.0,1.0
514.0,1.0
515.0,1.0
516.0,1.0
517.0,1.0
